JDBCb01,ConceptOfPhysics,HCVarma,BasicPhysics,AlephBookCompany,1000
JDBCb02,Mechanics,Arihant,UnderstandingPhysics,RoliBooks,700
JDBCb03,AnAutobiography,BillieJeanKing,Fiction,HachetteIndia,600
JDBCb04,AStoryofCourageandCouture,JustinePicardie,Fiction,RupaPublications,500
JDBCb05,ATaleofTwoCities,CharlesDickens,History,WestlandPublications,400
JDBCb06,MilesMorals,JasonRenold,Comics,AlephBookCompany,800
JDBCb07,HarryPorter,JkRowling,Fantasy,WestlandPublications,500
JDBCb08,TheDiaryofaYoungGirl,AnneFrank,NonFiction,ScholasticIndia,1500
JDBCb09,TheShiny,StephenKing,Horror,HachetteIndia,500
JDBCb10,RomeoAndJuliet,WilliamShakespeare,Dramatic,JaicoPublishers,1300
JDBCb11,TheLadyIsTrouble,tracysumner,Romantic,AlephBookCompany,900
JDBCb12,NightThings,MichaelTalbot,Horror,RoliBooks,600
JDBCb13,TheCatcherInTheRye,J.DSalinger,Humour,JaicoPublishers,1200
JDBCb14,KushielDart,JacqualineCarey,Fantasy,ScholasticIndia,1000
JDBCb15,Panchtantra,VishnuSharma,History,AlephBookCompany,900
JDBCb16,GulliversTravels,Jonathan,Fiction,JaicoPublishers,400
JDBCb17,Emma,JaneAusten,Fantasy,HachetteIndia,250
JDBCb18,Frankenstein,MaryShelley,Horror,RupaPublications,600
JDBCb19,NightmareAbbey,ThomasLove,Romantic,RoliBooks,550
JDBCb20,Sybil,BenjaminDisraeli,Dramatic,WestlandPublications,400
JDBCb21,VanityFair,WilliamThackeray,NonFiction,HachetteIndia,700
JDBCb22,JaneEyre,CharlotteBrontë,Comics,AlephBookCompany,800
JDBCb23,Ncert,CentralBoard,Fiction,RoliBooks,200
JDBCb24,Cengage,Talwar,UnderstandingPhysics,ScholasticIndia,300
JDBCb25,HeatAndThermodynamics,BmSharma,BasicPhysics,JaicoPublishers,700
